Zona,Area,Qualidade,AnoConstrucao,QualidadeAquecimento,Banheiros,Quartos_t1,Quartos_t2,Comodos,Lareiras,Garagem,Preco,DecadaConstrucao,preco/m2,cluster
RL,10335,5,1968,Gd,2,3,4,7,1,2,180000,60,17.42,1
RL,12772,6,1960,TA,1,2,3,5,0,1,151500,60,11.86,2
RL,9750,6,1969,Gd,1,3,4,6,0,2,151000,60,15.49,5
RL,7800,5,1964,TA,1,2,3,5,0,1,115000,60,14.74,0
RL,7943,4,1961,Gd,1,3,4,5,0,1,118500,60,14.92,0
RL,9764,5,1967,Ex,1,3,4,5,0,2,130000,60,13.31,0
RL,9170,5,1965,Ex,1,2,3,6,0,2,140000,60,15.27,5
RL,11553,5,1968,TA,1,3,4,7,1,1,158000,60,13.68,5
RL,7094,5,1966,TA,1,3,4,5,0,1,125000,60,17.62,0
RL,7000,5,1960,Ex,1,2,3,6,0,1,135000,60,19.29,0
RL,7800,5,1967,Ex,1,3,4,5,0,1,130000,60,16.67,0
RL,7931,5,1960,TA,1,3,4,6,1,1,155000,60,19.54,5
RL,10289,5,1965,TA,1,3,4,6,0,2,156000,60,15.16,5
RL,9230,5,1965,Gd,1,1,2,6,0,2,146000,60,15.82,5
RL,7758,5,1962,Gd,1,3,4,6,0,1,132500,60,17.08,0
RL,11777,5,1966,Ex,1,3,4,6,2,2,164500,60,13.97,5
RL,16492,6,1966,Ex,2,2,3,6,1,2,190000,60,11.52,2
RL,14585,6,1960,Ex,1,3,4,7,2,2,181900,60,12.47,2
RL,8800,6,1964,TA,1,3,4,6,2,1,160000,60,18.18,5
RL,8480,5,1963,TA,1,2,3,5,0,2,132500,60,15.62,0
RL,9350,5,1965,Gd,2,3,4,6,1,2,179900,60,19.24,1
RL,10000,6,1962,TA,1,3,4,5,0,2,160000,60,16.0,5
RL,10205,5,1962,TA,1,3,4,6,0,1,134500,60,13.18,5
RL,9500,6,1963,Gd,1,3,4,6,2,2,159000,60,16.74,5
RL,9150,6,1962,Gd,1,3,4,6,1,1,165000,60,18.03,1
RL,7763,5,1962,TA,1,3,4,6,0,2,140000,60,18.03,5
RL,12342,5,1960,TA,1,3,4,6,1,1,139900,60,11.34,5
RL,11235,4,1963,Gd,1,3,4,6,1,2,148000,60,13.17,5
RL,7500,5,1963,Fa,1,3,4,5,0,1,133000,60,17.73,0
RL,8800,6,1963,Ex,1,3,4,6,0,2,137500,60,15.62,5
RL,8724,5,1968,Gd,1,3,4,5,1,2,129000,60,14.79,0
RL,8450,5,1968,Ex,1,3,4,6,1,1,142000,60,16.8,5
RL,9920,5,1954,TA,1,3,4,6,0,1,128000,50,12.9,0
RL,9600,6,1950,Ex,1,3,4,6,0,1,140000,50,14.58,5
RL,8923,5,1953,Gd,1,2,3,6,0,1,134500,50,15.07,5
RL,13125,5,1957,Ex,2,3,4,8,1,2,155000,50,11.81,2
RL,7200,5,1950,Gd,1,3,4,7,0,1,138000,50,19.17,0
RL,8712,5,1957,TA,1,2,3,5,0,1,153000,50,17.56,5
RL,7100,5,1957,TA,1,2,3,5,0,1,129900,50,18.3,0
RL,8910,6,1959,Ex,1,3,4,6,1,2,159500,50,17.9,5
RL,11029,6,1958,Ex,1,3,4,6,1,2,176500,50,16.0,1
RL,9600,6,1955,Gd,1,3,4,8,1,1,165500,50,17.24,1
RL,5868,5,1956,Ex,1,2,3,4,0,1,129000,50,21.98,0
RM,7407,6,1957,TA,1,2,3,6,0,2,149700,50,20.21,5
RL,9503,5,1958,TA,1,2,3,6,1,1,144000,50,15.15,5
RL,10721,6,1959,Ex,1,3,4,7,0,2,142000,50,13.25,5
RL,10152,5,1956,TA,1,3,4,6,0,1,135000,50,13.3,5
RL,17140,4,1956,Ex,1,3,4,6,0,1,135000,50,7.88,2
RL,14375,6,1958,Gd,1,3,4,7,1,2,137500,50,9.57,2
RL,10215,4,1954,Ex,1,3,4,5,0,1,111000,50,10.87,0
RL,5400,5,1954,Ex,1,2,3,4,0,1,117000,50,21.67,0
RL,13825,5,1958,TA,1,3,4,6,0,1,140000,50,10.13,2
RL,10482,6,1958,Ex,1,3,4,6,0,1,145000,50,13.83,5
RL,12160,5,1959,Fa,1,3,4,6,0,2,142000,50,11.68,5
RL,7200,5,1950,TA,1,3,4,6,0,1,119000,50,16.53,0
RL,8335,5,1954,Gd,1,3,4,5,1,0,93000,50,11.16,0
RL,9120,6,1958,Ex,1,3,4,6,1,2,163000,50,17.87,5
RL,9600,5,1956,Gd,1,2,3,5,0,1,128900,50,13.43,0
RL,11344,5,1958,TA,1,3,4,7,0,1,144000,50,12.69,5
RL,17755,5,1959,TA,1,3,4,6,2,2,149900,50,8.44,2
RL,8280,6,1950,Ex,1,2,3,4,1,1,124000,50,14.98,0
RL,9000,5,1959,TA,1,3,4,5,0,0,80000,50,8.89,0
RL,11512,6,1959,Gd,1,2,3,5,1,1,177000,50,15.38,1
RL,9600,6,1950,TA,1,3,4,6,0,1,119000,50,12.4,0
RL,9450,4,1954,Ex,1,3,4,5,0,2,110000,50,11.64,0
RL,10382,6,1958,TA,1,2,3,6,0,1,140000,50,13.48,5
RL,8172,5,1955,TA,1,2,3,5,0,2,115000,50,14.07,0
RL,7390,5,1955,TA,1,3,4,6,0,1,135000,50,18.27,0
RL,10434,4,1955,TA,1,2,3,5,1,2,115000,50,11.02,0
RL,7207,5,1958,Gd,1,2,3,4,0,0,116500,50,16.16,0
RL,8926,4,1956,Ex,1,3,4,5,0,1,112000,50,12.55,0
RL,7500,5,1959,Ex,1,3,4,6,0,1,154000,50,20.53,5
RL,8190,4,1954,Ex,1,3,4,5,1,1,119000,50,14.53,0
RL,7200,5,1950,Gd,1,3,4,5,0,2,129000,50,17.92,0
RL,8400,6,1957,Gd,1,3,4,6,2,2,156500,50,18.63,5
RL,7560,5,1959,TA,1,3,4,6,0,1,133700,50,17.69,0
RL,8163,5,1959,TA,1,3,4,6,1,1,143000,50,17.52,5
RL,7350,5,1951,TA,1,2,3,4,0,2,139000,50,18.91,5
RL,9717,5,1950,Gd,1,2,3,5,0,1,142125,50,14.63,5
RL,13284,5,1954,TA,1,3,4,6,1,1,165000,50,12.42,2
RL,7535,5,1958,Fa,1,2,3,5,0,1,120000,50,15.93,0
RL,14559,5,1951,Ex,1,2,3,6,2,1,164900,50,11.33,2
RL,9100,5,1958,TA,1,3,4,5,0,2,129900,50,14.27,0
RL,5500,4,1956,Ex,1,1,2,4,0,0,103200,50,18.76,4
RL,11988,6,1957,Ex,1,3,4,6,2,1,150000,50,12.51,5
RL,13300,5,1956,TA,1,2,3,4,0,1,132000,50,9.92,2
RL,7200,5,1955,Ex,1,2,3,5,1,1,107500,50,14.93,0
RL,7200,5,1950,TA,1,2,3,5,0,2,109500,50,15.21,0
RM,8235,5,1955,TA,1,2,3,4,0,2,125000,50,15.18,0
RM,6000,5,1957,Gd,1,3,4,5,0,1,112500,50,18.75,0
RL,14850,5,1957,TA,1,2,3,6,1,1,141000,50,9.49,2
RL,11341,5,1957,TA,1,3,4,5,1,2,121500,50,10.71,0
RL,7332,6,1959,Ex,1,2,3,4,0,1,120000,50,16.37,0
RL,8973,5,1958,TA,1,3,4,6,0,2,150000,50,16.72,5
RL,9464,6,1958,Gd,1,3,4,5,0,1,136000,50,14.37,5
RL,7227,6,1954,Gd,1,2,3,4,0,2,105500,50,14.6,0
RL,9600,6,1955,Ex,1,3,4,7,2,1,153000,50,15.94,5
RL,9250,5,1954,TA,1,3,4,6,0,1,139400,50,15.07,5
RL,7200,5,1950,Gd,1,3,4,7,0,2,98300,50,13.65,0
RL,10452,6,1953,Ex,1,3,4,5,2,2,155000,50,14.83,5
RL,10007,5,1959,Ex,1,3,4,5,0,1,145500,50,14.54,5
RL,14175,5,1956,Gd,1,3,4,6,1,2,168000,50,11.85,2
RL,9600,5,1959,Ex,1,3,4,6,0,1,124500,50,12.97,0
RL,9600,5,1950,Gd,1,3,4,5,1,1,147000,50,15.31,5
RL,9320,4,1959,Fa,1,3,4,6,0,0,128950,50,13.84,0
RL,7015,5,1950,TA,1,3,4,5,1,1,110000,50,15.68,0
RM,12702,5,1956,Gd,1,2,3,4,0,1,97000,50,7.64,0
RL,9600,6,1958,Gd,2,3,4,6,1,1,139000,50,14.48,5
RL,19138,4,1951,Ex,1,2,3,4,0,2,141000,50,7.37,2
RL,11310,6,1954,Ex,1,2,3,5,1,2,140000,50,12.38,5
RL,9600,6,1953,TA,1,3,4,7,2,2,167000,50,17.4,1
RL,14000,6,1950,Ex,1,3,4,6,1,1,158500,50,11.32,2
RL,15750,5,1953,TA,1,2,3,5,2,1,157000,50,9.97,2
RL,8760,6,1959,TA,1,3,4,6,0,1,148000,50,16.89,5
RL,8176,5,1958,Fa,1,3,4,6,0,1,139000,50,17.0,5
RL,12400,6,1958,TA,1,3,4,6,0,1,155000,50,12.5,2
RL,6930,5,1958,Ex,1,3,4,6,0,1,130000,50,18.76,0
RL,7800,5,1954,Gd,1,2,3,7,1,1,132000,50,16.92,0
RL,9830,5,1959,Ex,1,3,4,7,1,2,162000,50,16.48,5
RL,10011,5,1957,TA,1,2,3,6,1,1,134450,50,13.43,5
RL,10634,5,1953,TA,1,3,4,5,0,1,123000,50,11.57,0
RL,8339,5,1959,TA,1,3,4,5,0,1,106500,50,12.77,0
RL,9571,5,1956,TA,1,3,4,6,0,1,129000,50,13.48,0
RL,9000,6,1956,Gd,1,2,3,6,1,1,139000,50,15.44,5
RL,8593,4,1957,Ex,1,3,4,5,0,1,109008,50,12.69,0
RL,9060,5,1957,Ex,1,3,4,7,1,1,120000,50,13.25,0
RL,9855,6,1956,Fa,1,3,4,7,1,2,127500,50,12.94,0
RL,6420,5,1952,Fa,1,2,3,6,0,1,123500,50,19.24,0
RL,7388,5,1959,Gd,1,3,4,7,0,2,150750,50,20.4,5
RL,7200,4,1950,TA,1,2,3,4,0,2,109900,50,15.26,0
RL,8877,4,1951,TA,1,2,3,6,0,2,102000,50,11.49,0
RM,6000,4,1954,Ex,1,2,3,4,0,1,107900,50,17.98,0
RL,7677,5,1953,Gd,1,2,3,4,0,1,110000,50,14.33,0
RL,7134,5,1955,TA,1,3,4,6,1,2,130000,50,18.22,0
RL,9000,5,1954,TA,1,2,3,5,0,1,118000,50,13.11,0
RL,7945,5,1959,Ex,1,3,4,6,0,1,141000,50,17.75,5
RL,11425,5,1954,Gd,1,2,3,4,1,1,137000,50,11.99,5
RL,7922,5,1953,TA,1,3,4,5,0,1,109000,50,13.76,0
RL,8532,5,1954,Gd,1,3,4,5,1,2,153000,50,17.93,5
RL,11900,6,1957,TA,1,3,4,6,2,2,166000,50,13.95,1
RL,9600,4,1950,TA,2,2,3,4,0,2,128000,50,13.33,0
RL,7200,5,1951,TA,1,3,4,5,0,2,134800,50,18.72,0
RL,17920,5,1955,TA,1,3,4,6,1,2,170000,50,9.49,2
RL,7931,5,1959,TA,1,3,4,6,0,1,132500,50,16.71,0
RL,7560,5,1958,TA,1,3,4,6,0,1,139000,50,18.39,5
RL,8892,5,1953,Gd,1,3,4,5,0,2,116000,50,13.05,0
RL,16466,5,1955,TA,1,3,4,8,0,1,135500,50,8.23,2
RL,12160,6,1953,Ex,1,2,3,6,1,2,149500,50,12.29,5
RL,10150,5,1958,Ex,1,2,3,5,0,1,114500,50,11.28,0
RL,16905,5,1959,Gd,1,2,3,5,2,1,170000,50,10.06,2
RL,8400,5,1957,TA,1,3,4,5,0,1,145000,50,17.26,5
RL,9100,6,1959,Ex,1,2,3,5,0,1,127500,50,14.01,0
RL,8475,4,1956,Ex,1,2,3,4,0,1,135750,50,16.02,5
RL,10200,5,1954,Gd,1,3,4,6,0,2,144900,50,14.21,5
RL,9900,6,1940,TA,2,3,4,7,1,1,139500,40,14.09,5
RL,9405,5,1947,Ex,1,2,3,4,0,0,118000,40,12.55,0
RM,6000,6,1941,Ex,1,3,4,6,1,2,131000,40,21.83,0
RL,9490,6,1941,TA,1,3,4,5,2,1,133000,40,14.01,5
RL,12342,4,1940,Ex,1,1,2,4,0,2,82500,40,6.68,0
RL,8000,6,1948,Ex,1,2,3,5,1,1,132000,40,16.5,0
RL,5330,4,1940,Gd,1,2,3,5,0,0,82500,40,15.48,4
RL,9480,5,1942,Ex,1,3,4,7,2,1,146500,40,15.45,5
RM,12358,5,1941,TA,1,2,3,7,0,2,128500,40,10.4,5
RL,17503,6,1948,TA,1,3,4,6,1,1,97500,40,5.57,2
RL,8400,6,1940,Ex,1,2,3,6,2,1,140000,40,16.67,5
RM,8635,5,1948,TA,1,2,3,6,0,1,127000,40,14.71,0
RL,12000,7,1941,Ex,1,3,4,7,1,1,174500,40,14.54,1
RL,14762,5,1948,Gd,2,2,3,7,1,2,169000,40,11.45,2
RL,11100,4,1946,Ex,1,2,3,6,0,1,84900,40,7.65,0
RM,3378,7,1946,Gd,1,3,4,6,2,1,135000,40,39.96,3
RL,7446,4,1941,TA,1,2,3,4,2,0,100000,40,13.43,0
RL,10496,6,1949,Ex,2,3,4,7,1,1,143000,40,13.62,5
RL,10200,5,1940,Ex,1,2,3,4,0,1,108000,40,10.59,0
RM,6000,5,1948,Ex,1,2,3,5,0,1,115000,40,19.17,0
RM,12000,5,1948,Ex,1,2,3,6,0,2,147000,40,12.25,5
RM,8100,5,1948,Gd,1,2,3,5,0,2,153500,40,18.95,5
RL,10998,5,1941,Ex,2,3,4,6,0,2,117000,40,10.64,0
RL,8741,6,1945,TA,1,3,4,7,1,1,113000,40,12.93,0
RL,9600,5,1940,Ex,1,2,3,7,2,1,160000,40,16.67,5
RL,11409,5,1949,Gd,1,3,4,8,1,1,131000,40,11.48,5
RL,8064,5,1949,Ex,1,3,4,6,1,2,122900,40,15.24,0
RM,6900,5,1940,Ex,1,2,3,4,1,1,120500,40,17.46,0
RL,9340,4,1941,TA,1,2,3,4,0,1,113000,40,12.1,0
RL,9492,5,1941,TA,1,3,4,6,1,1,105000,40,11.06,0
RL,8480,5,1947,TA,1,2,3,6,0,1,118500,40,13.97,0
RL,11767,5,1946,Ex,1,3,4,6,0,1,130500,40,11.09,5
RL,9144,5,1940,Gd,1,3,4,8,0,1,145000,40,15.86,5
RL,4712,4,1946,TA,1,3,4,5,0,1,121600,40,25.81,4
RL,13907,5,1940,Ex,1,3,4,6,1,0,108000,40,7.77,0
RM,4608,4,1945,TA,1,2,3,4,0,1,80000,40,17.36,4
RM,3880,5,1945,Gd,1,2,3,4,0,0,110500,40,28.48,4
RL,8777,4,1949,Ex,2,2,3,5,0,2,108000,40,12.3,0
RL,10930,5,1945,TA,1,3,4,6,1,1,140000,40,12.81,5
RM,3500,5,1947,TA,1,2,3,5,0,1,110000,40,31.43,4
RL,12144,5,1949,Gd,1,3,4,6,1,1,133000,40,10.95,5
RM,7200,5,1940,TA,1,2,3,4,2,1,119000,40,16.53,0
RL,7500,6,1942,Fa,1,3,4,7,2,1,177500,40,23.67,1
RM,5000,6,1947,Ex,2,3,4,7,2,2,159000,40,31.8,3
RL,9600,5,1949,TA,1,2,3,4,0,2,135000,40,14.06,5
RL,11664,6,1948,TA,1,2,3,5,1,1,119200,40,10.22,0
RL,10134,5,1940,Gd,1,2,3,5,0,1,109000,40,10.76,0
RL,3010,7,2005,Ex,2,2,3,5,0,2,167240,2000,55.56,3
RL,8773,7,2004,Ex,2,3,4,6,0,2,185500,2000,21.14,1
RL,3182,7,2005,Ex,2,2,3,7,1,2,192500,2000,60.5,3
RL,10402,7,2009,Ex,2,3,4,6,0,3,198900,2000,19.12,1
RL,8500,7,2004,Ex,2,3,4,7,0,2,179600,2000,21.13,1
RL,11911,6,2005,Ex,2,3,4,6,1,2,174000,2000,14.61,1
RM,3675,5,2005,Gd,1,2,3,5,0,2,145000,2000,39.46,3
RL,13695,5,2004,Ex,1,3,4,6,0,2,159000,2000,11.61,2
RL,11317,7,2003,Ex,2,3,4,8,0,2,180000,2000,15.91,1
RL,7415,6,2004,Ex,2,3,4,8,1,2,193000,2000,26.03,1
RL,9735,5,2006,Gd,2,3,4,7,0,2,167500,2000,17.21,1
RM,4435,6,2003,Ex,1,1,2,4,0,2,144000,2000,32.47,3
RM,4426,6,2004,Ex,1,1,2,3,1,2,149300,2000,33.73,3
RL,10261,6,2000,Ex,2,3,4,8,1,2,186500,2000,18.18,1
RL,8461,6,2005,Ex,2,3,4,8,1,2,163990,2000,19.38,1
RL,8499,6,2006,Ex,2,3,4,6,1,2,156932,2000,18.46,5
RL,8536,5,2006,Gd,1,2,3,5,0,2,155000,2000,18.16,5
RL,11103,7,2006,Ex,2,3,4,8,1,2,155835,2000,14.04,5
RL,13695,6,2003,Ex,1,3,4,6,0,2,155000,2000,11.32,2
RL,8366,6,2004,Ex,2,3,4,6,0,2,173000,2000,20.68,1
RL,13450,7,2002,Ex,2,3,4,8,0,2,200000,2000,14.87,1
RL,13072,6,2004,Ex,1,3,4,5,0,2,158000,2000,12.09,2
RM,2522,6,2004,Ex,2,3,4,7,0,2,130000,2000,51.55,3
RL,7500,7,2004,Ex,1,3,4,6,0,0,141000,2000,18.8,5
RL,11645,7,2004,Ex,2,3,4,7,0,2,196500,2000,16.87,1
RL,8244,7,2004,Ex,2,3,4,7,1,2,183500,2000,22.26,1
RL,10420,6,2009,Ex,2,3,4,6,0,2,186000,2000,17.85,1
RL,9986,8,2006,Ex,2,2,3,7,1,3,147000,2000,14.72,5
RL,6762,7,2006,Ex,2,2,3,6,1,2,193879,2000,28.67,1
RL,7750,7,2000,Ex,2,3,4,7,1,2,180000,2000,23.23,1
RM,11426,7,2003,Ex,2,3,4,6,0,2,200000,2000,17.5,1
RM,4435,6,2003,Ex,1,1,2,3,0,2,136500,2000,30.78,3
RM,2522,7,2004,Ex,2,3,4,7,0,2,130000,2000,51.55,3
RM,8546,4,2003,Ex,2,2,3,5,0,2,140000,2000,16.38,5
RM,4438,6,2004,Ex,1,1,2,3,1,2,149000,2000,33.57,3
RL,11049,8,2007,Ex,2,3,4,7,0,2,179900,2000,16.28,1
RM,3363,7,2004,Ex,2,3,4,7,0,2,130000,2000,38.66,3
RM,3675,6,2005,Gd,2,2,3,5,0,2,140000,2000,38.1,3
RL,3635,7,2007,Ex,2,1,2,7,1,3,175900,2000,48.39,3
RL,8899,7,2007,Ex,2,3,4,6,0,2,181134,2000,20.35,1
RL,9587,7,2005,Ex,2,2,3,5,0,2,190000,2000,19.82,1
RL,8556,7,2006,Ex,2,2,3,5,0,3,194000,2000,22.67,1
RL,3182,7,2005,Ex,2,1,2,7,1,2,181000,2000,56.88,3
RL,7750,7,2003,Ex,2,3,4,6,0,2,162000,2000,20.9,5
RL,8450,7,2000,Ex,2,3,4,6,0,2,179000,2000,21.18,1
RL,9590,7,2003,Ex,2,3,4,6,1,2,187500,2000,19.55,1
RL,7314,7,2007,Ex,2,2,3,6,0,2,194500,2000,26.59,1
RL,7024,4,2005,Ex,1,2,3,5,0,2,176000,2000,25.06,1
RL,7406,7,2006,Ex,2,2,3,6,0,2,194000,2000,26.19,1
RL,3182,7,2005,Ex,2,2,3,7,1,2,191000,2000,60.03,3
RM,4426,6,2004,Ex,1,1,2,3,0,2,143000,2000,32.31,3
RL,9018,7,2007,Ex,2,3,4,8,1,2,179540,2000,19.91,1
RM,4426,6,2004,Ex,1,1,2,3,1,2,141000,2000,31.86,3
RL,7577,6,2005,Ex,2,2,3,6,1,2,194700,2000,25.7,1
RL,8633,6,2005,Ex,2,3,4,7,0,2,173500,2000,20.1,1
RL,5381,6,2005,Ex,2,1,2,5,1,2,196000,2000,36.42,1
RL,8993,7,2007,Ex,2,3,4,6,0,2,176485,2000,19.62,1
RL,8846,6,2005,Ex,2,3,4,6,0,2,173900,2000,19.66,1
RL,16285,7,2001,Ex,2,3,4,6,0,2,187100,2000,11.49,2
RL,3182,7,2007,Ex,2,2,3,6,1,2,159895,2000,50.25,3
RL,14006,7,2002,Ex,2,3,4,7,1,2,192500,2000,13.74,2
RL,12589,6,2005,Ex,2,3,4,8,1,2,174000,2000,13.82,2
RL,7024,5,2005,Gd,1,2,3,5,0,2,157000,2000,22.35,5
RL,10237,6,2005,Ex,2,3,4,6,1,2,169990,2000,16.61,1
RL,8487,7,2004,Ex,2,3,4,6,0,2,190000,2000,22.39,1
RL,10083,7,2003,Ex,2,2,3,5,0,2,184900,2000,18.34,1
RM,4435,6,2003,Ex,1,1,2,3,0,2,131500,2000,29.65,3
RL,8529,7,2001,Ex,2,3,4,6,1,2,189000,2000,22.16,1
RL,3182,7,2005,Ex,2,2,3,5,1,2,160200,2000,50.35,3
RL,8450,7,2003,Ex,2,3,4,6,0,2,185000,2000,21.89,1
RL,7226,7,2003,Ex,2,3,4,6,0,2,183000,2000,25.33,1
RL,10237,6,2005,Ex,2,3,4,8,1,2,178900,2000,17.48,1
RM,4438,6,2004,Ex,1,1,2,4,1,2,144500,2000,32.56,3
RL,2268,7,2003,Ex,2,2,3,6,0,2,173000,2000,76.28,3
RL,8199,7,2005,Ex,2,3,4,7,1,2,189000,2000,23.05,1
RL,7052,7,2005,Ex,2,2,3,6,1,2,185850,2000,26.35,1
RM,4435,6,2004,Ex,1,1,2,3,1,2,155900,2000,35.15,3
RL,6931,7,2003,Ex,2,3,4,7,1,2,165400,2000,23.86,1
RL,7861,6,2002,Ex,2,3,4,7,1,2,183200,2000,23.3,1
RL,10852,6,2000,Ex,2,3,4,7,1,2,173000,2000,15.94,1
RL,8767,7,2005,Ex,2,3,4,6,1,2,164990,2000,18.82,1
RL,8935,7,2002,Ex,2,3,4,7,0,2,195000,2000,21.82,1
RL,8029,6,2005,Ex,2,3,4,8,0,2,176000,2000,21.92,1
RL,9100,7,2001,Ex,2,3,4,6,0,2,178000,2000,19.56,1
RL,3182,8,2004,Ex,2,2,3,6,1,2,192000,2000,60.34,3
RL,8123,6,2000,Ex,2,3,4,7,1,2,179000,2000,22.04,1
RL,8121,6,2000,Ex,2,3,4,7,1,2,172400,2000,21.23,1
RL,9135,6,2003,Ex,2,3,4,7,0,2,200000,2000,21.89,1
RL,2448,7,2003,Ex,2,2,3,6,0,2,154000,2000,62.91,3
RL,15384,7,2004,Ex,2,3,4,8,1,2,184000,2000,11.96,2
RL,7795,7,2004,Ex,2,3,4,6,1,2,188500,2000,24.18,1
RL,2628,7,2003,Ex,2,2,3,6,0,2,175500,2000,66.78,3
RL,13072,6,2005,Ex,1,3,4,6,0,2,142500,2000,10.9,2
RL,3136,7,2003,Ex,2,2,3,6,1,2,171750,2000,54.77,3
RL,7875,7,2003,Ex,2,3,4,8,1,2,180000,2000,22.86,1
RL,6762,7,2007,Ex,2,2,3,6,0,2,195400,2000,28.9,1
RL,3922,7,2006,Ex,2,2,3,6,1,3,172500,2000,43.98,3
RL,9317,6,2006,Gd,2,3,4,6,1,2,176432,2000,18.94,1
RL,8402,5,2007,Ex,1,3,4,6,0,0,147000,2000,17.5,5
RL,8749,7,2002,Ex,2,3,4,6,1,2,192000,2000,21.95,1
RM,4435,6,2003,Ex,1,1,2,4,0,2,140000,2000,31.57,3
RL,8320,7,2004,Ex,2,3,4,6,0,2,185900,2000,22.34,1
RL,9967,7,2000,Ex,2,3,4,8,1,2,170000,2000,17.06,1
RM,2522,7,2004,Ex,2,3,4,7,0,2,137500,2000,54.52,3
RL,17104,7,2006,Ex,2,3,4,7,1,2,179665,2000,10.5,2
RM,3072,7,2004,Ex,2,2,3,6,1,2,178740,2000,58.18,3
RL,9056,8,2004,Ex,2,3,4,6,1,2,178000,2000,19.66,1
RL,8063,6,2000,Ex,2,3,4,7,1,2,181000,2000,22.45,1
RL,7750,8,2002,Ex,2,3,4,7,1,2,184100,2000,23.75,1
RL,15578,6,2006,Gd,2,3,4,8,0,2,172785,2000,11.09,2
RL,3684,7,2007,Ex,2,2,3,7,1,3,174000,2000,47.23,3
RM,3675,6,2005,Ex,1,2,3,5,0,2,148000,2000,40.27,3
RL,9313,7,2004,Ex,2,3,4,7,0,2,190000,2000,20.4,1
