District;Area;Quality;Year;HeatingQuality;Bathrooms;Bedrooms_A;Bedrooms_B;Rooms;Fireplace;Garage;Price
RL;19138;4;1951;Ex;1;2;3;4;0;2;141000
RL;8012;6;1992;Gd;2;2;3;5;0;2;179200
RL;9786;6;1962;TA;1;3;4;7;1;2;159000
RL;8125;4;1971;TA;1;3;4;5;0;0;88000
RL;9819;5;1967;TA;1;3;4;5;0;1;122000
RL;11409;5;1949;Gd;1;3;4;8;1;1;131000
RL;9600;6;1953;TA;1;3;4;7;2;2;167000
RL;7937;6;1984;TA;1;3;4;6;0;2;142500
RL;11700;6;1968;Gd;1;3;4;7;1;2;175000
RL;14000;6;1950;Ex;1;3;4;6;1;1;158500
RL;15750;5;1953;TA;1;2;3;5;2;1;157000
RL;9800;5;1972;TA;1;3;4;5;0;2;149900
RL;12342;4;1940;Ex;1;1;2;4;0;2;82500
RL;7685;6;1993;Gd;2;3;4;6;1;2;165600
RL;8000;6;1948;Ex;1;2;3;5;1;1;132000
RL;7795;7;2004;Ex;2;3;4;6;1;2;188500
RL;14115;7;1980;TA;2;3;4;6;2;2;187500
RL;11600;6;1960;TA;1;3;4;7;0;1;145250
RL;8176;5;1958;Fa;1;3;4;6;0;1;139000
RL;9042;6;1998;Gd;2;3;4;7;2;2;192000
RL;12400;6;1958;TA;1;3;4;6;0;1;155000
RM;2592;5;1976;TA;1;3;4;4;0;1;85000
RL;12772;6;1960;TA;1;2;3;5;0;1;151500
RL;17600;6;1960;Ex;2;3;4;6;2;2;157500
RL;2448;7;2003;Ex;2;2;3;6;0;2;154000
RL;5271;7;1986;Gd;1;2;3;6;1;2;190000
RL;8400;6;1940;Ex;1;2;3;6;2;1;140000
RL;11249;6;1995;Ex;2;3;4;6;0;2;177500
RL;9248;6;1992;Gd;2;3;4;6;0;2;173000
RM;4224;5;1976;TA;1;3;4;6;1;2;134000
RL;6930;5;1958;Ex;1;3;4;6;0;1;130000
RL;7540;6;1978;Ex;1;2;3;5;1;2;156000
RL;9144;5;1940;Gd;1;3;4;8;0;1;145000
RM;1680;6;1972;Gd;1;2;3;5;0;1;118000
RL;18800;6;1976;TA;2;3;4;6;1;2;190000
RL;9500;6;1963;Gd;1;3;4;6;2;2;159000
RL;9150;6;1962;Gd;1;3;4;6;1;1;165000
RL;7800;5;1954;Gd;1;2;3;7;1;1;132000
RL;9830;5;1959;Ex;1;3;4;7;1;2;162000
RL;8121;6;2000;Ex;2;3;4;7;1;2;172400
RL;7175;6;1984;TA;1;2;3;4;0;1;125000
RL;10634;5;1953;TA;1;3;4;5;0;1;123000
RL;8846;5;1996;Ex;1;2;3;5;0;2;148000
RL;8123;6;2000;Ex;2;3;4;7;1;2;179000
RL;3182;8;2004;Ex;2;2;3;6;1;2;192000
RL;7200;6;1976;Ex;1;3;4;6;1;1;125000
RL;9382;7;1999;Ex;2;3;4;6;0;2;191000
RL;8339;5;1959;TA;1;3;4;5;0;1;106500
RL;7446;4;1941;TA;1;2;3;4;2;0;100000
RL;10134;5;1940;Gd;1;2;3;5;0;1;109000
RL;9571;5;1956;TA;1;3;4;6;0;1;129000
RL;7200;5;1972;TA;1;2;3;6;0;2;123000
RL;8767;7;2005;Ex;2;3;4;6;1;2;164990
RL;10200;5;1940;Ex;1;2;3;4;0;1;108000
RL;10364;6;1995;Gd;2;3;4;7;1;2;168000
RL;9991;4;1976;Ex;2;3;4;8;1;2;150000
RL;8899;7;2007;Ex;2;3;4;6;0;2;181134
RL;7844;6;1978;TA;1;3;4;6;1;2;149500
RL;8450;5;1968;Ex;1;3;4;6;1;1;142000
RL;9000;6;1956;Gd;1;2;3;6;1;1;139000
RM;3378;7;1946;Gd;1;3;4;6;2;1;135000
RL;8593;4;1957;Ex;1;3;4;5;0;1;109008
RL;6762;7;2007;Ex;2;2;3;6;0;2;195400
RL;11457;6;1988;TA;2;3;4;6;1;2;175000
RM;1680;6;1971;TA;1;2;3;4;0;1;85400
RL;3182;7;2005;Ex;2;1;2;7;1;2;181000
RL;8385;5;1977;TA;2;3;4;6;0;1;149900
RL;12155;6;1970;Gd;2;3;4;7;1;2;163500
RM;2217;4;1970;TA;1;3;4;6;0;1;88000
RL;11664;6;1948;TA;1;2;3;5;1;1;119200
RL;5814;8;1984;Gd;1;1;2;4;1;2;187500
RL;10784;7;1991;Gd;2;3;4;7;1;2;160000
RL;7024;4;2005;Ex;1;2;3;5;0;2;176000
RL;7406;7;2006;Ex;2;2;3;6;0;2;194000
RL;3182;7;2005;Ex;2;2;3;7;1;2;191000
RL;7700;5;1972;TA;1;3;4;5;0;2;112500
RL;9300;5;1960;TA;1;3;4;6;2;2;167500
RL;9492;5;1941;TA;1;3;4;6;1;1;105000
RM;1680;6;1972;Gd;1;3;4;7;0;1;118000
RM;1533;4;1970;TA;1;3;4;6;1;0;97000
RM;1477;4;1970;TA;1;1;2;3;0;1;80000
RL;13125;5;1957;Ex;2;3;4;8;1;2;155000
RL;5381;6;2005;Ex;2;1;2;5;1;2;196000
RL;9245;5;1994;Ex;1;3;4;5;0;2;145000
RL;11100;4;1946;Ex;1;2;3;6;0;1;84900
RL;8993;7;2007;Ex;2;3;4;6;0;2;176485
RL;11361;6;1976;TA;2;3;4;7;1;2;180000
RL;7052;7;2005;Ex;2;2;3;6;1;2;185850
RL;11000;5;1966;Ex;1;3;4;6;1;2;154000
RL;7837;6;1993;Gd;2;3;4;7;1;2;178000
RL;9600;5;1949;TA;1;2;3;4;0;2;135000
RL;10152;5;1956;TA;1;3;4;6;0;1;135000
RL;7950;6;1977;TA;1;3;4;6;0;2;159500
RL;8556;7;2006;Ex;2;2;3;5;0;3;194000
RL;15870;5;1969;Ex;1;3;4;6;0;1;138800
RM;4435;6;2004;Ex;1;1;2;3;1;2;155900
RL;8775;5;1994;Gd;1;3;4;5;0;1;126000
RL;11040;6;1971;Ex;2;3;4;5;0;2;145000
RL;7500;5;1963;Fa;1;3;4;5;0;1;133000
RL;8749;7;2002;Ex;2;3;4;6;1;2;192000
RL;8800;6;1964;TA;1;3;4;6;2;1;160000
RL;13031;6;1995;Gd;2;3;4;6;1;2;187500
RL;9069;6;1992;Ex;1;2;3;5;0;2;147000
RM;1974;4;1973;TA;1;3;4;6;0;1;83500
RM;2522;7;2004;Ex;2;3;4;7;0;2;137500
RL;9230;5;1965;Gd;1;1;2;6;0;2;146000
RL;5868;5;1956;Ex;1;2;3;4;0;1;129000
RL;9317;6;2006;Gd;2;3;4;6;1;2;176432
RL;3696;8;1986;Ex;1;2;3;5;0;2;170000
RL;11880;7;1978;TA;2;3;4;7;1;2;157000
RL;9758;5;1971;TA;1;3;4;5;0;1;119500
RL;7000;5;1960;Ex;1;2;3;6;0;1;135000
RL;8910;6;1959;Ex;1;3;4;6;1;2;159500
RM;2016;5;1970;TA;2;3;4;6;0;2;106000
RL;10357;7;1990;Gd;2;3;4;6;1;2;179900
RL;8063;6;2000;Ex;2;3;4;7;1;2;181000
RL;8000;6;1995;Gd;2;3;4;8;1;2;188000
RL;7100;5;1957;TA;1;2;3;5;0;1;129900
RL;8923;5;1953;Gd;1;2;3;6;0;1;134500
RL;5400;5;1954;Ex;1;2;3;4;0;1;117000
RL;7750;8;2002;Ex;2;3;4;7;1;2;184100
RL;9764;5;1967;Ex;1;3;4;5;0;2;130000
RL;13825;5;1958;TA;1;3;4;6;0;1;140000
RL;7560;5;1959;TA;1;3;4;6;0;1;133700
RL;8926;4;1956;Ex;1;3;4;5;0;1;112000
RL;9405;5;1947;Ex;1;2;3;4;0;0;118000
RL;9125;7;1992;Gd;2;3;4;7;1;2;163900
RL;10434;4;1955;TA;1;2;3;5;1;2;115000
RL;3684;7;2007;Ex;2;2;3;7;1;3;174000
RM;7200;5;1980;TA;1;2;3;4;0;2;140000
RL;8773;6;1997;Gd;2;3;4;7;1;2;169000
RL;9600;6;1950;TA;1;3;4;6;0;1;119000
RL;9819;6;1977;TA;2;2;3;5;2;2;196000
RL;7350;5;1951;TA;1;2;3;4;0;2;139000
RL;9000;5;1959;TA;1;3;4;5;0;0;80000
RL;11200;6;1985;TA;2;3;4;5;1;2;180000
RL;12000;7;1941;Ex;1;3;4;7;1;1;174500
RL;8280;6;1950;Ex;1;2;3;4;1;1;124000
RL;17755;5;1959;TA;1;3;4;6;2;2;149900
RL;9350;5;1965;Gd;2;3;4;6;1;2;179900
RL;2280;6;1978;Fa;2;3;4;7;1;2;146000
RL;8724;5;1968;Gd;1;3;4;5;1;2;129000
RL;16157;5;1978;Ex;1;2;3;5;1;2;194000
RL;10852;6;2000;Ex;2;3;4;7;1;2;173000
RL;9120;6;1958;Ex;1;3;4;6;1;2;163000
RL;6951;5;1984;TA;1;3;4;5;0;1;119500
RL;8335;5;1954;Gd;1;3;4;5;1;0;93000
RL;8935;7;2002;Ex;2;3;4;7;0;2;195000
RL;7500;7;1999;Gd;2;3;4;7;1;2;189000
RM;4500;6;1999;Ex;2;2;3;5;0;2;165000
RL;8029;6;2005;Ex;2;3;4;8;0;2;176000
RL;9100;7;2001;Ex;2;3;4;6;0;2;178000
RL;11235;4;1963;Gd;1;3;4;6;1;2;148000
RL;9353;4;1970;Gd;1;3;4;5;0;1;116050
RL;10400;7;1998;Ex;2;3;4;6;0;2;197900
RL;10140;5;1975;Ex;1;3;4;6;0;2;153500
RL;9135;6;2003;Ex;2;3;4;7;0;2;200000
RL;7763;5;1962;TA;1;3;4;6;0;2;140000
RL;11218;6;1992;Ex;2;3;4;8;1;2;189000
RL;9340;4;1941;TA;1;2;3;4;0;1;113000
RL;10205;5;1962;TA;1;3;4;6;0;1;134500
RL;7094;5;1966;TA;1;3;4;5;0;1;125000
RM;1680;6;1971;TA;1;3;4;7;0;0;91500
RL;7800;5;1964;TA;1;2;3;5;0;1;115000
RL;8250;5;1968;Ex;1;3;4;5;1;1;134000
RL;10496;6;1949;Ex;2;3;4;7;1;1;143000
RL;15384;7;2004;Ex;2;3;4;8;1;2;184000
RL;10482;6;1958;Ex;1;3;4;6;0;1;145000
RL;8872;5;1965;Ex;1;2;3;5;0;2;147000
RL;7728;5;1962;TA;1;3;4;6;0;2;132500
RL;12160;5;1959;Fa;1;3;4;6;0;2;142000
RL;2628;7;2003;Ex;2;2;3;6;0;2;175500
RL;13072;6;2005;Ex;1;3;4;6;0;2;142500
RL;10625;7;1974;TA;2;3;4;6;2;2;170000
RL;12328;6;1976;TA;1;3;4;6;0;3;169900
RL;7200;5;1950;TA;1;3;4;6;0;1;119000
RL;3136;7;2003;Ex;2;2;3;6;1;2;171750
RL;9858;5;1968;TA;1;3;4;5;0;1;130000
RL;6931;7;2003;Ex;2;3;4;7;1;2;165400
RL;9587;7;2005;Ex;2;2;3;5;0;2;190000
RL;9750;6;1969;Gd;1;3;4;6;0;2;151000
RL;9600;5;1956;Gd;1;2;3;5;0;1;128900
RL;11344;5;1958;TA;1;3;4;7;0;1;144000
RL;9156;6;1968;Gd;2;3;4;7;1;2;185750
RL;13526;5;1965;TA;1;3;4;5;0;1;137000
RL;11512;6;1959;Gd;1;2;3;5;1;1;177000
RL;12936;6;1972;TA;1;3;4;6;1;2;162000
RL;17871;6;1967;Fa;1;3;4;7;1;2;197900
RL;8049;7;1990;TA;2;2;3;6;1;2;180000
RL;8800;5;1977;TA;2;3;4;5;0;2;150500
RL;9790;6;1963;TA;1;3;4;6;2;2;143000
RL;14112;5;1964;TA;1;3;4;6;1;2;180500
RM;1680;5;1972;TA;2;3;4;6;0;1;119500
RL;8172;5;1955;TA;1;2;3;5;0;2;115000
RL;8400;5;1968;Gd;1;3;4;5;0;1;138500
RL;8700;5;1963;Gd;2;3;4;6;0;2;155000
RM;3675;6;2005;Gd;2;2;3;5;0;2;140000
RL;7500;5;1959;Ex;1;3;4;6;0;1;154000
RL;12968;5;1962;TA;1;2;3;4;0;1;144000
RL;10920;6;1960;TA;1;2;3;5;1;1;157000
RL;11241;6;1970;Ex;1;2;3;5;1;2;149000
RL;13695;5;2004;Ex;1;3;4;6;0;2;159000
RL;7560;5;1958;TA;1;3;4;6;0;1;139000
RM;4224;5;1976;TA;1;3;4;6;1;2;129900
RL;8246;5;1968;Ex;1;3;4;6;1;1;154000
RL;7200;5;1951;TA;1;3;4;5;0;2;134800
RL;8544;5;1966;Gd;1;3;4;6;0;1;149350
RL;11049;8;2007;Ex;2;3;4;7;0;2;179900
RL;10859;5;1994;Ex;1;3;4;6;0;2;145000
RL;8532;5;1954;Gd;1;3;4;5;1;2;153000
RL;7922;5;1953;TA;1;3;4;5;0;1;109000
RL;10530;6;1977;TA;1;2;3;4;0;2;135000
RL;7875;7;1995;Gd;2;3;4;6;1;2;176000
RL;7153;6;1992;Ex;2;3;4;7;0;2;175900
RL;16285;7;2001;Ex;2;3;4;6;0;2;187100
RL;9101;5;1978;Ex;1;1;2;4;1;2;165500
RL;9790;6;1967;TA;2;3;4;7;1;2;161500
RM;6000;4;1954;Ex;1;2;3;4;0;1;107900
RL;3182;7;2005;Ex;2;2;3;5;1;2;160200
RL;11333;6;1976;TA;1;3;4;5;2;2;146800
RL;10832;7;1994;Ex;2;3;4;7;1;2;194500
RL;8400;6;1980;TA;2;3;4;7;1;2;171000
RL;8197;6;1977;Ex;1;3;4;7;1;2;143500
RL;7677;5;1953;Gd;1;2;3;4;0;1;110000
RL;8199;7;2005;Ex;2;3;4;7;1;2;189000
RL;9000;5;1954;TA;1;2;3;5;0;1;118000
RL;9750;5;1967;Gd;2;3;4;6;0;1;135500
RL;13400;5;1966;TA;1;3;4;6;1;2;159950
RM;4438;6;2004;Ex;1;1;2;4;1;2;144500
RL;11425;5;1954;Gd;1;2;3;4;1;1;137000
RL;8816;6;1971;Gd;1;3;4;6;0;2;155000
RL;7226;7;2003;Ex;2;3;4;6;0;2;183000
RL;9900;6;1940;TA;2;3;4;7;1;1;139500
RL;8529;7;2001;Ex;2;3;4;6;1;2;189000
RL;11900;6;1957;TA;1;3;4;6;2;2;166000
RL;10004;6;1964;TA;1;3;4;6;0;2;167000
RL;7875;5;1961;Gd;1;3;4;6;0;2;139950
RL;9600;4;1950;TA;2;2;3;4;0;2;128000
RM;8100;5;1948;Gd;1;2;3;5;0;2;153500
RM;1680;6;1973;TA;1;2;3;5;0;1;100000
RL;9525;5;1995;Ex;1;3;4;6;0;1;144000
RL;11767;5;1946;Ex;1;3;4;6;0;1;130500
RL;9020;6;1966;TA;1;3;4;6;0;2;174900
RL;16647;5;1975;TA;2;3;4;6;2;2;171000
RL;15523;5;1972;Ex;1;3;4;5;1;1;133500
RL;9600;6;1976;Ex;2;3;4;7;1;2;187000
RM;4435;6;2003;Ex;1;1;2;3;0;2;131500
RL;12095;6;1964;TA;1;3;4;7;1;2;158000
RL;17920;5;1955;TA;1;3;4;6;1;2;170000
RL;6897;5;1962;Ex;1;3;4;6;0;1;127000
RL;10970;6;1978;TA;1;3;4;5;0;2;147000
RL;8125;6;1994;Gd;2;3;4;6;1;2;174000
RL;10400;7;1976;TA;2;3;4;6;1;2;152000
RL;11625;5;1965;Ex;1;3;4;6;0;2;131500
RL;9672;6;1984;TA;2;3;4;6;0;2;152000
RL;7931;5;1959;TA;1;3;4;6;0;1;132500
RL;8750;5;1970;TA;1;3;4;5;0;2;148500
RL;6970;4;1961;TA;1;3;4;5;0;2;129000
RL;14762;5;1948;Gd;2;2;3;7;1;2;169000
RL;8892;5;1953;Gd;1;3;4;5;0;2;116000
RL;12144;5;1949;Gd;1;3;4;6;1;1;133000
RL;11782;5;1961;TA;1;3;4;6;0;2;148000
RL;7000;5;1978;Ex;1;3;4;6;0;1;136500
RL;7024;5;2005;Gd;1;2;3;5;0;2;157000
RL;13758;7;1990;Ex;2;3;4;7;1;2;187500
RL;9636;6;1992;Gd;2;3;4;7;1;2;178000
RL;7150;5;1967;TA;1;3;4;5;0;1;100000
RL;16466;5;1955;TA;1;3;4;8;0;1;135500
RL;12160;6;1953;Ex;1;2;3;6;1;2;149500
RL;8064;5;1949;Ex;1;3;4;6;1;2;122900
RL;11184;6;1978;Gd;2;3;4;7;1;2;172500
RL;8414;6;1963;TA;1;3;4;6;0;1;154500
RL;13284;5;1954;TA;1;3;4;6;1;1;165000
RL;6993;5;1961;TA;1;3;4;6;1;1;135000
RL;7340;4;1971;TA;1;2;3;4;0;1;110000
RL;8712;5;1957;TA;1;2;3;5;0;1;153000
RL;7875;7;2003;Ex;2;3;4;8;1;2;180000
RL;6173;5;1967;TA;1;3;4;6;0;1;125500
RL;9920;5;1954;TA;1;3;4;6;0;1;128000
RL;8885;5;1983;TA;1;2;3;5;0;2;131000
RL;12589;6;2005;Ex;2;3;4;8;1;2;174000
RL;9286;5;1977;TA;1;3;4;5;0;1;143500
RL;17140;4;1956;Ex;1;3;4;6;0;1;135000
RL;11029;6;1958;Ex;1;3;4;6;1;2;176500
RL;10237;6;2005;Ex;2;3;4;6;1;2;169990
RL;8012;6;1993;Ex;2;2;3;5;1;2;193000
RL;15611;5;1977;TA;2;3;4;6;0;2;175000
RL;9100;5;1965;Ex;1;2;3;5;0;1;117500
RL;8487;7;2004;Ex;2;3;4;6;0;2;190000
RL;10083;7;2003;Ex;2;2;3;5;0;2;184900
RL;14375;6;1958;Gd;1;3;4;7;1;2;137500
RL;8163;5;1959;TA;1;3;4;6;1;1;143000
RL;14006;7;2002;Ex;2;3;4;7;1;2;192500
RL;9360;6;1972;TA;1;3;4;5;1;2;197500
RL;7200;5;1950;Gd;1;3;4;5;0;2;129000
RL;7200;5;1972;Gd;1;2;3;5;0;1;133900
RM;1300;6;1980;TA;1;2;3;5;1;2;124000
RL;7420;5;1962;TA;1;3;4;6;0;2;132000
RL;8450;7;2003;Ex;2;3;4;6;0;2;185000
RL;7207;5;1958;Gd;1;2;3;4;0;0;116500
RL;2308;6;1976;TA;2;3;4;7;1;2;155000
RL;10237;6;2005;Ex;2;3;4;8;1;2;178900
RL;9600;5;1940;Ex;1;2;3;7;2;1;160000
RL;7390;5;1955;TA;1;3;4;6;0;1;135000
RL;10382;6;1958;TA;1;2;3;6;0;1;140000
RL;2268;7;2003;Ex;2;2;3;6;0;2;173000
RL;7892;6;1979;TA;2;2;3;5;1;1;99500
RL;9450;4;1954;Ex;1;3;4;5;0;2;110000
RL;8816;5;1963;TA;1;3;4;5;0;2;139000
RL;12122;7;1961;Gd;1;3;4;6;0;2;178400
RL;3182;7;2007;Ex;2;2;3;6;1;2;159895
RL;9760;6;1964;Gd;2;3;4;7;1;2;187000
RL;8846;6;2005;Ex;2;3;4;6;0;2;173900
RL;4712;4;1946;TA;1;3;4;5;0;1;121600
RL;10659;5;1961;TA;1;3;4;6;0;1;136500
RL;11717;6;1970;TA;2;2;3;6;1;2;185000
